,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
4740,540.0,1.0,2853739.0,24.7,,,16.94,3.0,0.0,0.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4741,541.0,1.0,2961480.0,27.6,,,16.94,3.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.604896,37.653976
4742,542.0,1.0,2979684.0,25.7,,,16.94,3.0,0.0,0.0,0.0,1.0,18.0,18.0,1.0,5.0,55.604896,37.653976
4743,543.0,1.0,3164141.0,28.8,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4744,544.0,1.0,3603600.0,28.6,18.0,,18.61,7.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,5.0,55.599926,37.72539
4745,545.0,1.0,3660800.0,28.6,15.0,,18.61,10.0,1.0,1.0,0.0,1.0,6.0,19.0,1.0,5.0,55.599926,37.72539
4746,546.0,1.0,3700000.0,39.0,20.0,12.0,19.89,5.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4747,547.0,1.0,3750000.0,40.0,17.5,11.0,16.94,12.0,0.0,1.0,0.0,1.0,11.0,22.0,1.0,5.0,55.604896,37.653976
4748,548.0,1.0,3750000.0,31.0,20.0,6.0,17.91,7.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,55.595644,37.647046
4749,549.0,1.0,3786754.0,33.6,,,16.94,3.0,0.0,0.0,0.0,1.0,17.0,18.0,1.0,5.0,55.604896,37.653976
4750,550.0,2.0,3800000.0,40.0,40.0,,5.99,15.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4751,551.0,1.0,3800000.0,24.0,18.0,3.0,14.71,10.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,55.624749,37.648609
4752,552.0,2.0,3800000.0,40.0,40.0,,5.99,,,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4753,553.0,2.0,3800000.0,40.0,35.0,5.0,5.99,10.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4754,554.0,2.0,3800000.0,40.0,35.0,,5.99,,,0.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4755,555.0,2.0,3850000.0,39.0,19.0,12.0,19.89,,,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4756,556.0,1.0,3866880.0,40.3,34.0,,16.94,3.0,0.0,0.0,0.0,1.0,3.0,20.0,1.0,5.0,55.604896,37.653976
4757,557.0,1.0,3900000.0,38.6,18.0,7.0,19.3,10.0,0.0,0.0,0.0,1.0,7.0,12.0,0.0,5.0,55.58354,37.655239
4758,558.0,1.0,3900000.0,35.0,28.0,,19.57,10.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,5.0,55.58177,37.663261
4759,559.0,1.0,3900000.0,33.0,19.0,6.0,19.88,,,0.0,0.0,1.0,9.0,9.0,0.0,5.0,55.578177,37.653191
4760,560.0,1.0,3799980.0,22.7,11.2,5.0,18.6,5.0,1.0,0.0,0.0,0.0,2.0,25.0,1.0,5.0,55.588738,37.603023
4761,561.0,1.0,6050000.0,34.7,30.0,1.0,16.18,13.0,1.0,0.0,0.0,1.0,6.0,16.0,0.0,5.0,55.618964,37.705167
4762,562.0,3.0,9250000.0,58.1,36.0,,18.64,15.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,5.0,55.598177,37.718148
4763,563.0,1.0,2450000.0,25.0,25.0,,16.94,7.0,0.0,1.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4764,564.0,1.0,2753955.0,25.1,,,16.94,3.0,0.0,0.0,0.0,1.0,6.0,18.0,1.0,5.0,55.604896,37.653976
4765,565.0,1.0,2764927.0,25.2,,,16.94,3.0,0.0,0.0,0.0,1.0,9.0,18.0,1.0,5.0,55.604896,37.653976
4766,566.0,1.0,2801074.0,25.6,,,16.94,3.0,0.0,0.0,0.0,1.0,8.0,18.0,1.0,5.0,55.604896,37.653976
4767,567.0,1.0,2830632.0,24.5,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4768,568.0,1.0,2853739.0,24.7,,,16.94,3.0,0.0,0.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4769,569.0,1.0,2961480.0,27.6,,,16.94,3.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.604896,37.653976
4770,570.0,1.0,2979684.0,25.7,,,16.94,3.0,0.0,0.0,0.0,1.0,18.0,18.0,1.0,5.0,55.604896,37.653976
4771,571.0,1.0,3164141.0,28.8,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4772,572.0,1.0,3603600.0,28.6,18.0,,18.61,7.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,5.0,55.599926,37.72539
4773,573.0,1.0,3660800.0,28.6,15.0,,18.61,10.0,1.0,1.0,0.0,1.0,6.0,19.0,1.0,5.0,55.599926,37.72539
